DZ,HB,Easting,Northing,urban,JSA2011,workpop2011
S01001383,Ayrshire & Arran,239953.5714,638467.5692,5,18,320
S01001384,Ayrshire & Arran,244379.3028,638512.8881,2,55,502
S01001385,Ayrshire & Arran,241760.2734,638524.8099,2,33,520
S01001386,Ayrshire & Arran,242396.7216,638799.2248,2,75,521
S01001387,Ayrshire & Arran,244252.3354,638822.795,2,20,484
S01001388,Ayrshire & Arran,242967.914,639049.0354,2,105,690
S01001389,Ayrshire & Arran,244559.7799,639059.8595,2,15,325
S01001390,Ayrshire & Arran,243702.5353,639174.9351,2,25,481
S01001391,Ayrshire & Arran,244270.3592,639175.7189,2,30,433
S01001392,Ayrshire & Arran,242355.3667,639300.253,2,53,453
S01001393,Ayrshire & Arran,243286.672,639359.3172,2,10,315
S01001394,Ayrshire & Arran,242691.5686,639380.0306,2,45,287
S01001395,Ayrshire & Arran,244602.865,639476.0405,2,43,587
S01001396,Ayrshire & Arran,242187.1268,639680.1227,2,28,501
S01001397,Ayrshire & Arran,242646.9244,639681.9796,2,85,472
S01001398,Ayrshire & Arran,243482.7007,639792.1693,2,10,459
S01001399,Ayrshire & Arran,242585.1766,639989.9099,2,93,573
S01001400,Ayrshire & Arran,243007.8799,640009.0847,2,48,531
S01001401,Ayrshire & Arran,243265.6077,640232.0274,2,30,434
S01001402,Ayrshire & Arran,243565.1032,640337.3683,2,13,554
S01001403,Ayrshire & Arran,243238.7111,640570.7044,2,8,839
S01001404,Ayrshire & Arran,243806.7693,640652.9892,2,5,581
S01001405,Ayrshire & Arran,243971.7243,640700.2823,2,8,856
S01001406,Ayrshire & Arran,241350.2175,640992.5184,5,33,1488
S01001407,Ayrshire & Arran,240924.2382,641061.7906,5,20,489
S01001408,Ayrshire & Arran,241055.5765,641411.2645,5,33,501
S01001409,Ayrshire & Arran,240582.9897,641517.3273,5,23,574
S01001410,Ayrshire & Arran,246342.6201,643180.6857,5,10,543
S01001411,Ayrshire & Arran,250063.3606,644581.7838,5,5,409
S01001412,Ayrshire & Arran,241345.6858,645583.4981,3,60,491
S01001413,Ayrshire & Arran,242235.6829,645632.2181,3,10,647
S01001414,Ayrshire & Arran,241476.5859,645899.9355,3,28,347
S01001415,Ayrshire & Arran,241985.9348,645928.73,3,35,453
S01001416,Ayrshire & Arran,242529.7094,645943.9211,3,18,404
S01001417,Ayrshire & Arran,241521.8245,646304.2224,3,13,590
S01001418,Ayrshire & Arran,242068.1296,646399.7305,3,10,479
S01001419,Ayrshire & Arran,242711.9202,646454.6053,3,18,466
S01001420,Ayrshire & Arran,242951.4062,647210.587,5,13,740
S01001421,Ayrshire & Arran,240948.6565,649479.7863,5,20,572
S01001422,Ayrshire & Arran,240751.2086,649777.0294,5,5,398
S01001423,Greater Glasgow & Clyde,260510.1512,669498.4614,1,20,539
S01001424,Greater Glasgow & Clyde,261587.4036,669524.4954,1,50,650
S01001425,Greater Glasgow & Clyde,262480.8939,669567.6015,1,43,1006
S01001426,Greater Glasgow & Clyde,261050.1002,669614.458,1,13,429
S01001427,Greater Glasgow & Clyde,262244.8287,669793.7182,1,15,537
S01001428,Greater Glasgow & Clyde,261720.8951,669836.4267,1,30,569
S01001429,Greater Glasgow & Clyde,261096.7074,669962.0107,1,10,372
S01001430,Greater Glasgow & Clyde,260603.1954,669970.8947,1,10,489
S01001431,Greater Glasgow & Clyde,262420.2249,670039.1604,1,13,629
S01001432,Greater Glasgow & Clyde,263135.51,670064.5688,1,8,480
S01001433,Greater Glasgow & Clyde,261984.1757,670120.7418,1,10,447
S01001434,Greater Glasgow & Clyde,261528.0738,670190.5316,1,10,550
S01001435,Greater Glasgow & Clyde,260547.2878,670289.8037,1,15,630
S01001436,Greater Glasgow & Clyde,254459.1585,670313.1972,1,5,595
S01001437,Greater Glasgow & Clyde,262382.5252,670482.1602,1,5,571
S01001438,Greater Glasgow & Clyde,254984.2547,670531.7931,1,5,346
S01001439,Greater Glasgow & Clyde,260385.1554,670565.6235,1,8,442
S01001440,Greater Glasgow & Clyde,253806.466,670577.1021,1,15,544
S01001441,Greater Glasgow & Clyde,261386.9165,670641.608,1,8,414
S01001442,Greater Glasgow & Clyde,262185.4455,670702.517,1,10,397
S01001443,Greater Glasgow & Clyde,253483.7448,670807.9796,1,10,551
S01001444,Greater Glasgow & Clyde,262762.3772,670817.945,1,18,693
S01001445,Greater Glasgow & Clyde,253932.6613,670846.1908,1,8,459
S01001446,Greater Glasgow & Clyde,260733.5774,670862.5056,1,8,472
S01001447,Greater Glasgow & Clyde,254438.3215,670882.4334,1,13,829
S01001448,Greater Glasgow & Clyde,261709.9192,670923.1084,1,8,425
S01001449,Greater Glasgow & Clyde,255610.0091,670937.8694,1,5,343
S01001450,Greater Glasgow & Clyde,261029.9263,671001.9143,1,8,422
S01001451,Greater Glasgow & Clyde,255082.3296,671105.808,1,5,396
S01001452,Greater Glasgow & Clyde,256138.035,671137.0382,1,5,485
S01001453,Greater Glasgow & Clyde,266564.7175,671250.1747,2,5,519
S01001454,Greater Glasgow & Clyde,253866.776,671269.2802,1,10,562
S01001455,Greater Glasgow & Clyde,260654.3759,671316.6274,1,10,454
S01001456,Greater Glasgow & Clyde,254708.0236,671356.4168,1,3,314
S01001457,Greater Glasgow & Clyde,265586.1109,671380.8773,2,5,454
S01001458,Greater Glasgow & Clyde,261257.889,671380.7699,1,10,474
S01001459,Greater Glasgow & Clyde,255297.3551,671506.2465,1,5,460
S01001460,Greater Glasgow & Clyde,261085.9742,671597.143,1,10,413
S01001461,Greater Glasgow & Clyde,261528.296,671677.375,1,10,449
S01001462,Greater Glasgow & Clyde,254661.8515,671726.8432,1,5,482
S01001463,Greater Glasgow & Clyde,260043.3302,671739.142,1,5,386
S01001464,Greater Glasgow & Clyde,265915.197,671837.3745,2,8,545
S01001465,Greater Glasgow & Clyde,253496.6505,671842.456,1,5,371
S01001466,Greater Glasgow & Clyde,255788.1902,671847.7658,1,5,425
S01001467,Greater Glasgow & Clyde,266410.3636,671932.0036,2,5,526
S01001468,Greater Glasgow & Clyde,261872.1743,672020.3203,1,5,373
S01001469,Greater Glasgow & Clyde,255472.6939,672036.4715,1,5,381
S01001470,Greater Glasgow & Clyde,254022.8808,672107.3316,1,5,536
S01001471,Greater Glasgow & Clyde,265471.6486,672143.0079,2,5,457
S01001472,Greater Glasgow & Clyde,264409.4396,672155.5757,2,15,428
S01001473,Greater Glasgow & Clyde,254442.5945,672231.2231,1,5,392
S01001474,Greater Glasgow & Clyde,263588.491,672278.2584,2,15,555
S01001475,Greater Glasgow & Clyde,255019.516,672331.7046,1,5,329
S01001476,Greater Glasgow & Clyde,253515.1689,672446.1999,1,8,615
S01001477,Greater Glasgow & Clyde,264470.5941,672478.5496,2,13,553
S01001478,Greater Glasgow & Clyde,265693.9388,672537.8823,2,5,330
S01001479,Greater Glasgow & Clyde,265376.444,672655.9367,2,15,323
S01001480,Greater Glasgow & Clyde,266200.0171,672668.9886,2,5,290
S01001481,Greater Glasgow & Clyde,252051.4738,672699.3682,1,8,494
S01001482,Greater Glasgow & Clyde,253290.5828,672713.9197,1,20,500
S01001483,Greater Glasgow & Clyde,254539.6032,672732.3283,1,5,574
S01001484,Greater Glasgow & Clyde,255294.2629,672908.8351,1,5,543
S01001485,Greater Glasgow & Clyde,268921.525,672914.2075,2,5,420
S01001486,Greater Glasgow & Clyde,253969.6096,672934.0159,1,3,408
S01001487,Greater Glasgow & Clyde,265095.5301,672942.6061,2,20,393
S01001488,Greater Glasgow & Clyde,252905.7896,673003.0798,1,10,507
S01001489,Greater Glasgow & Clyde,253453.6421,673056.356,1,5,578
S01001490,Greater Glasgow & Clyde,265672.535,673169.3791,2,40,645
S01001491,Greater Glasgow & Clyde,255139.6482,673209.7446,1,5,433
S01001492,Greater Glasgow & Clyde,267645.6056,673230.0625,2,40,551
S01001493,Greater Glasgow & Clyde,266611.0633,673256.0014,2,10,480
S01001494,Greater Glasgow & Clyde,266066.1971,673257.5147,2,35,580
S01001495,Greater Glasgow & Clyde,254575.0449,673268.5892,1,0,311
S01001496,Greater Glasgow & Clyde,254105.0223,673281.1964,1,5,521
S01001497,Greater Glasgow & Clyde,265208.3725,673341.0091,2,35,459
S01001498,Greater Glasgow & Clyde,252922.9892,673374.2449,1,3,420
S01001499,Greater Glasgow & Clyde,261588.2089,673456.9751,5,20,691
S01001500,Greater Glasgow & Clyde,266550.5421,673552.1561,2,25,316
S01001501,Greater Glasgow & Clyde,255111.0489,673616.4112,1,5,429
S01001502,Greater Glasgow & Clyde,267073.5308,673661.7807,2,10,509
S01001503,Greater Glasgow & Clyde,267450.9571,673681.6411,2,10,534
S01001504,Greater Glasgow & Clyde,265944.1414,673685.5576,2,30,567
S01001505,Greater Glasgow & Clyde,264556.6643,673699.1897,2,8,527
S01001506,Greater Glasgow & Clyde,265368.8321,673793.2204,2,18,339
S01001507,Greater Glasgow & Clyde,253037.8612,673793.4573,1,8,673
S01001508,Greater Glasgow & Clyde,253876.0108,673811.6871,1,8,591
S01001509,Greater Glasgow & Clyde,266611.5874,673826.5295,2,35,490
S01001510,Greater Glasgow & Clyde,265090.439,673886.8001,2,20,342
S01001511,Greater Glasgow & Clyde,254661.2817,673934.6462,1,5,301
S01001512,Greater Glasgow & Clyde,266650.6513,674092.8895,2,58,494
S01001513,Greater Glasgow & Clyde,266093.2228,674093.9309,2,63,462
S01001514,Greater Glasgow & Clyde,267428.7599,674132.4049,2,20,514
S01001515,Greater Glasgow & Clyde,254935.5387,674151.915,1,8,379
S01001516,Greater Glasgow & Clyde,267031.0098,674317.4212,2,20,441
S01001517,Greater Glasgow & Clyde,255338.7651,674384.4838,1,20,398
S01001518,Greater Glasgow & Clyde,254523.361,674434.7348,1,25,621
S01001519,Greater Glasgow & Clyde,255838.8793,674444.0862,1,5,524
S01001520,Greater Glasgow & Clyde,267342.5904,674447.9839,2,25,420
S01001521,Greater Glasgow & Clyde,257450.7196,674481.5459,1,13,508
S01001522,Greater Glasgow & Clyde,266540.5145,674558.8835,2,33,616
S01001523,Greater Glasgow & Clyde,253753.1686,674592.7749,1,5,577
S01001524,Greater Glasgow & Clyde,267215.6238,674602.9621,2,28,531
S01001525,Greater Glasgow & Clyde,267669.991,674661.9678,2,18,465
S01001526,Greater Glasgow & Clyde,254082.8893,674705.4725,1,8,426
S01001527,Greater Glasgow & Clyde,254754.7126,674722.507,1,23,546
S01001528,Greater Glasgow & Clyde,259779.647,674776.5901,5,8,611
S01001529,Greater Glasgow & Clyde,255129.2854,674820.687,1,8,405
S01001530,Greater Glasgow & Clyde,254454.6149,674859.1716,1,15,521
S01001531,Greater Glasgow & Clyde,265747.3448,674888.7448,2,35,709
S01001532,Greater Glasgow & Clyde,255366.5694,675046.8317,1,5,321
S01001533,Greater Glasgow & Clyde,256101.7789,675062.0762,1,5,488
S01001534,Greater Glasgow & Clyde,254047.6206,675069.7532,1,8,388
S01001535,Greater Glasgow & Clyde,261578.317,675283.7158,5,13,568
S01001536,Greater Glasgow & Clyde,269872.2393,675349.0762,5,25,485
S01001537,Greater Glasgow & Clyde,270231.7768,675445.1206,5,20,311
S01001538,Greater Glasgow & Clyde,254896.3534,675842.2521,1,10,451
S01001539,Greater Glasgow & Clyde,264897.7755,675924.188,3,10,511
S01001540,Greater Glasgow & Clyde,252072.5987,676180.9681,1,5,583
S01001541,Greater Glasgow & Clyde,265061.8112,676267.561,3,15,464
S01001542,Greater Glasgow & Clyde,264766.3325,676435.457,3,15,424
S01001543,Greater Glasgow & Clyde,264812.8231,676872.363,3,15,518
S01001544,Greater Glasgow & Clyde,266754.0881,677200.3152,3,25,550
S01001545,Greater Glasgow & Clyde,263457.7711,677553.487,3,15,503
S01001546,Greater Glasgow & Clyde,263020.07,677625.3394,3,58,558
S01001547,Greater Glasgow & Clyde,262959.0071,678011.9142,3,33,557
S01001548,Greater Glasgow & Clyde,263884.4597,678944.9427,3,13,722
S01001549,Greater Glasgow & Clyde,259809.1991,680367.4545,5,10,710
S01001550,Lothian,347363.5792,663720.4497,5,10,541
S01001551,Lothian,354741.5144,665061.0096,5,10,486
S01001552,Lothian,343085.6618,666333.26,5,15,554
S01001553,Lothian,359489.1617,666751.1138,5,5,587
S01001554,Lothian,343328.1075,668216.3462,5,5,579
S01001555,Lothian,336013.4761,669134.0174,5,20,417
S01001556,Lothian,341301.3706,669217.8861,5,20,540
S01001557,Lothian,345073.2891,669753.5875,5,8,596
S01001558,Lothian,341609.3281,670349.4267,5,13,492
S01001559,Lothian,339715.8457,670373.0192,5,10,249
S01001560,Lothian,333828.455,670743.7195,5,20,936
S01001561,Lothian,336604.4152,670812.7927,1,33,757
S01001562,Lothian,339589.4652,671003.6036,2,38,1481
S01001563,Lothian,333848.9638,671357.7447,1,8,364
S01001564,Lothian,333435.7816,671558.1177,1,10,297
S01001565,Lothian,333652.1521,671748.1749,1,15,472
S01001566,Lothian,333191.3295,671886.7517,1,15,426
S01001567,Lothian,341034.8381,671934.9074,2,15,591
S01001568,Lothian,334535.5026,671935.9235,1,10,470
S01001569,Lothian,340078.5315,671939.7408,2,5,489
S01001570,Lothian,332829.7257,671947.9679,1,5,368
S01001571,Lothian,336666.0835,671968.0106,1,30,448
S01001572,Lothian,333381.732,672009.4313,1,13,368
S01001573,Lothian,365306.943,672011.0734,6,5,434
S01001574,Lothian,335328.0176,672070.1232,1,30,476
S01001575,Lothian,333644.6262,672071.6864,1,20,476
S01001576,Lothian,341268.9594,672235.7067,2,13,307
S01001577,Lothian,340808.7117,672257.2917,2,10,442
S01001578,Lothian,343344.2701,672274.7114,5,15,398
S01001579,Lothian,336599.726,672320.4433,1,35,551
S01001580,Lothian,334956.1206,672338.4478,1,10,319
S01001581,Lothian,333241.289,672349.257,1,13,410
S01001582,Lothian,337038.4955,672365.9956,1,23,433
S01001583,Lothian,335336.1569,672408.7835,1,23,282
S01001584,Lothian,333582.139,672494.3548,1,15,440
S01001585,Lothian,334477.1514,672496.8566,1,25,539
S01001586,Lothian,332795.3228,672499.0945,1,10,330
S01001587,Lothian,340584.1223,672501.0955,2,23,425
S01001588,Lothian,336074.3536,672547.6874,1,28,528
S01001589,Lothian,340151.2054,672581.9069,2,28,449
S01001590,Lothian,333863.7431,672584.0269,1,13,400
S01001591,Lothian,341412.4381,672606.2043,2,20,314
S01001592,Lothian,336485.4065,672677.7179,1,30,443
S01001593,Lothian,335108.8271,672682.7695,1,23,634
S01001594,Lothian,333986.9378,672722.2436,1,20,439
S01001595,Lothian,340941.7991,672765.3334,2,53,381
S01001596,Lothian,335584.966,672842.7076,1,13,455
S01001597,Lothian,334620.9986,672846.9301,1,25,776
S01001598,Lothian,333140.1755,672872.902,1,8,379
S01001599,Lothian,333683.8879,672932.5511,1,35,575
S01001600,Lothian,334067.1126,672939.6611,1,30,588
S01001601,Lothian,371681.7094,672942.1448,6,15,760
S01001602,Lothian,339892.4941,672997.5455,2,10,459
S01001603,Lothian,340504.9201,673039.8837,2,25,551
S01001604,Lothian,341029.6288,673044.4201,2,28,369
S01001605,Lothian,344219.3601,673088.2489,5,8,449
S01001606,Lothian,334422.4181,673160.6378,1,23,390
S01001607,Lothian,338907.6827,673235.6606,5,40,1494
S01001608,Lothian,350769.4606,673474.8845,3,13,522
S01001609,Lothian,352433.2695,673542.9044,3,20,520
S01001610,Lothian,351653.1106,673555.5402,3,18,443
S01001611,Lothian,351133.6267,673714.6576,5,10,556
S01001612,Lothian,350459.9015,673803.8142,3,8,421
S01001613,Lothian,338281.7023,673852.5773,3,38,464
S01001614,Lothian,351244.9237,673861.337,3,10,274
S01001615,Lothian,352073.7687,673895.8039,3,25,520
S01001616,Lothian,349861.7486,673898.8118,3,0,454
S01001617,Lothian,337666.4282,673941.6359,3,25,366
S01001618,Lothian,359029.3602,673970.7427,5,10,501
S01001619,Lothian,338612.1487,674003.3718,3,23,402
S01001620,Lothian,339110.5551,674032.548,3,20,443
S01001621,Lothian,339721.304,674106.5626,3,25,458
S01001622,Lothian,351759.2126,674193.7306,3,38,525
S01001623,Lothian,350704.7468,674235.3007,3,10,381
S01001624,Lothian,351200.9406,674249.414,3,20,557
S01001625,Lothian,338514.1882,674276.3283,3,38,419
S01001626,Lothian,351720.7875,674410.1025,3,13,489
S01001627,Lothian,339550.6387,674460.4886,3,33,739
S01001628,Lothian,339869.635,674467.9663,3,23,344
S01001629,Lothian,338985.2276,674476.2952,3,10,446
S01001630,Lothian,338914.5544,674685.5094,3,35,310
S01001631,Lothian,339626.8711,675234.5088,3,30,930
S01001632,Lothian,340446.4924,675272.1403,3,8,410
S01001633,Lothian,345258.3321,675409.6779,5,3,463
S01001634,Lothian,340785.5351,675449.0348,3,13,683
S01001635,Lothian,341175.0206,675576.0315,3,15,445
S01001636,Lothian,341434.6131,675632.0735,3,8,357
S01001637,Lothian,342285.0892,675669.2886,5,15,410
S01001638,Lothian,340363.0678,675749.2999,3,25,543
S01001639,Lothian,340921.592,675805.4517,3,15,365
S01001640,Lothian,343647.2573,676074.1353,5,3,337
S01001641,Lothian,365531.6248,676226.1696,6,15,894
S01001642,Lothian,346242.9799,677029.8206,5,15,471
S01001643,Lothian,358796.0629,677536.7055,5,10,389
S01001644,Lothian,368226.9538,677761.7185,4,28,978
S01001645,Lothian,368859.1496,678229.6673,4,20,543
S01001646,Lothian,352381.7129,678341.5653,5,5,378
S01001647,Lothian,368197.6924,678426.0338,4,10,312
S01001648,Lothian,366742.3475,678469.3736,4,10,442
S01001649,Lothian,367381.5671,678659.6047,4,18,401
S01001650,Lothian,366678.9841,678934.3042,4,23,595
S01001651,Lothian,367417.6787,679090.9408,4,15,501
S01001652,Lothian,358535.4876,679120.472,5,5,453
S01001653,Lothian,367949.5587,679204.9304,4,13,441
S01001654,Lothian,347431.4493,679654.4236,5,5,535
S01001655,Lothian,345443.7922,679804.0642,5,5,292
S01001656,Lothian,349735.7158,681250.2358,5,18,677
S01001657,Lothian,360223.0278,681792.4035,6,5,344
S01001658,Lothian,354356.3831,682224.2059,6,8,524
S01001659,Lothian,348796.1888,683098.0499,5,3,355
S01001660,Lothian,348052.432,683169.5955,5,3,292
S01001661,Lothian,350929.3131,683624.129,5,10,428
S01001662,Lothian,355718.8456,684755.9001,4,10,409
S01001663,Lothian,355261.678,684877.9666,4,5,509
S01001664,Lothian,356717.8648,684908.7363,4,5,365
S01001665,Lothian,354204.1202,684975.8955,4,5,362
S01001666,Lothian,356002.8346,685000.3187,4,10,322
S01001667,Lothian,354722.1889,685052.3169,4,5,319
S01001668,Lothian,353846.0839,685338.3752,4,5,489
S01001669,Lothian,355362.9565,685388.8572,4,15,383
S01001670,Greater Glasgow & Clyde,257733.5048,648541.665,3,5,387
S01001671,Greater Glasgow & Clyde,254620.6141,650829.5779,5,5,341
S01001672,Greater Glasgow & Clyde,257192.5691,651730.784,3,10,317
S01001673,Greater Glasgow & Clyde,256757.5671,651835.4681,3,8,391
S01001674,Greater Glasgow & Clyde,257403.365,652078.4325,3,10,352
S01001675,Greater Glasgow & Clyde,256652.5983,652576.0503,3,5,356
S01001676,Greater Glasgow & Clyde,250729.0624,652780.069,5,8,822
S01001677,Greater Glasgow & Clyde,257059.6981,654365.1519,5,5,522
S01001678,Greater Glasgow & Clyde,247349.0058,654624.4919,3,15,617
S01001679,Greater Glasgow & Clyde,253850.9144,654769.6251,1,5,522
S01001680,Greater Glasgow & Clyde,254935.3827,655041.8873,1,3,271
S01001681,Greater Glasgow & Clyde,253876.9214,655235.7782,1,5,352
S01001682,Greater Glasgow & Clyde,245127.5079,655298.4326,3,10,437
S01001683,Greater Glasgow & Clyde,255066.3411,655405.9398,1,8,450
S01001684,Greater Glasgow & Clyde,241848.5561,655408.0163,5,5,352
S01001685,Greater Glasgow & Clyde,253392.5642,655430.8836,1,10,351
S01001686,Greater Glasgow & Clyde,254359.3898,655521.9827,1,10,512
S01001687,Greater Glasgow & Clyde,254875.6487,655575.7649,1,10,481
S01001688,Greater Glasgow & Clyde,255572.7088,655598.4238,1,15,576
S01001689,Greater Glasgow & Clyde,256305.6277,655676.1684,1,10,390
S01001690,Greater Glasgow & Clyde,252908.2296,655777.0523,1,15,449
S01001691,Greater Glasgow & Clyde,254143.4768,655797.5348,1,5,462
S01001692,Greater Glasgow & Clyde,253491.6253,655806.2761,1,10,427
S01001693,Greater Glasgow & Clyde,252501.3496,655828.1725,1,8,633
S01001694,Lanarkshire,257964.8184,655983.619,1,8,429
S01001695,Greater Glasgow & Clyde,255707.0981,655993.3453,1,3,463
S01001696,Greater Glasgow & Clyde,255305.4091,656080.1886,1,10,486
S01001697,Greater Glasgow & Clyde,253347.7383,656091.1929,1,15,530
S01001698,Lanarkshire,258625.4433,656123.5704,1,15,311
S01001699,Greater Glasgow & Clyde,252811.1521,656191.3021,1,5,469
S01001700,Greater Glasgow & Clyde,254695.7515,656193.8714,1,5,569
S01001701,Greater Glasgow & Clyde,257431.0581,656349.473,1,18,493
S01001702,Greater Glasgow & Clyde,254142.2344,656361.8175,1,10,393
S01001703,Greater Glasgow & Clyde,253082.0714,656385.3529,1,3,515
S01001704,Greater Glasgow & Clyde,255184.5793,656548.5107,1,5,489
S01001705,Greater Glasgow & Clyde,252651.9411,656557.7855,1,8,399
S01001706,Greater Glasgow & Clyde,256954.1141,656678.9308,1,5,446
S01001707,Greater Glasgow & Clyde,257701.9126,656680.2156,1,20,422
S01001708,Greater Glasgow & Clyde,253836.2766,656693.4614,1,10,486
S01001709,Greater Glasgow & Clyde,253008.5853,656713.7932,1,5,414
S01001710,Lanarkshire,258352.2938,656744.3039,1,10,449
S01001711,Greater Glasgow & Clyde,256472.7122,656785.5528,1,5,444
S01001712,Greater Glasgow & Clyde,247488.7906,656785.5309,3,10,316
S01001713,Greater Glasgow & Clyde,253531.1916,656797.4795,1,10,543
S01001714,Greater Glasgow & Clyde,257220.1421,656806.9627,1,5,437
S01001715,Greater Glasgow & Clyde,253301.8006,656855.4277,1,10,555
S01001716,Greater Glasgow & Clyde,247886.9713,656889.707,3,20,482
S01001717,Greater Glasgow & Clyde,256385.0475,657006.3808,1,5,444
S01001718,Greater Glasgow & Clyde,257670.4792,657076.1128,1,8,322
S01001719,Greater Glasgow & Clyde,256932.8604,657099.7261,1,5,469
S01001720,Greater Glasgow & Clyde,252508.7307,657116.6862,1,10,556
S01001721,Greater Glasgow & Clyde,254466.7371,657128.6193,1,5,361
S01001722,Greater Glasgow & Clyde,257327.2114,657166.624,1,5,439
S01001723,Greater Glasgow & Clyde,255347.5726,657173.4332,1,0,513
S01001724,Greater Glasgow & Clyde,247750.6005,657256.0784,3,43,402
S01001725,Greater Glasgow & Clyde,248344.7592,657293.0608,3,20,456
S01001726,Greater Glasgow & Clyde,255970.9406,657379.5335,1,5,411
S01001727,Greater Glasgow & Clyde,257062.1204,657432.9325,1,10,538
S01001728,Greater Glasgow & Clyde,256485.7003,657489.1858,1,5,429
S01001729,Greater Glasgow & Clyde,257817.789,657511.192,1,10,595
S01001730,Greater Glasgow & Clyde,256691.7145,657677.5271,1,5,383
S01001731,Greater Glasgow & Clyde,257505.9603,657692.1098,1,3,333
S01001732,Greater Glasgow & Clyde,250021.0183,657737.4382,1,5,355
S01001733,Greater Glasgow & Clyde,248655.479,657738.2854,3,13,599
S01001734,Greater Glasgow & Clyde,256280.2148,657787.5169,1,5,281
S01001735,Greater Glasgow & Clyde,256891.0643,657917.1244,1,5,283
S01001736,Greater Glasgow & Clyde,255577.1687,657993.6802,1,5,562
S01001737,Greater Glasgow & Clyde,257919.567,658019.2457,1,5,383
S01001738,Greater Glasgow & Clyde,256188.1182,658022.0945,1,5,309
S01001739,Greater Glasgow & Clyde,258132.4382,658050.0012,1,10,430
S01001740,Greater Glasgow & Clyde,245835.8796,658059.8276,3,13,499
S01001741,Greater Glasgow & Clyde,251638.1671,658065.5329,1,18,384
S01001742,Greater Glasgow & Clyde,250572.0876,658069.4996,1,33,391
S01001743,Greater Glasgow & Clyde,250918.3876,658070.6422,1,55,523
S01001744,Greater Glasgow & Clyde,250252.8578,658115.5677,1,5,397
S01001745,Greater Glasgow & Clyde,257418.0439,658203.1119,1,13,566
S01001746,Greater Glasgow & Clyde,256335.7791,658300.9459,1,5,575
S01001747,Greater Glasgow & Clyde,250664.1567,658415.2606,1,30,497
S01001748,Greater Glasgow & Clyde,258027.7082,658418.9287,1,8,395
S01001749,Greater Glasgow & Clyde,249775.0363,658440.3885,1,13,421
S01001750,Greater Glasgow & Clyde,250187.6793,658470.5007,1,18,324
S01001751,Greater Glasgow & Clyde,249289.7765,658500.9543,1,28,494
S01001752,Greater Glasgow & Clyde,256801.1035,658520.6908,1,10,653
S01001753,Greater Glasgow & Clyde,251013.034,658525.1518,1,40,471
S01001754,Greater Glasgow & Clyde,256205.6222,658609.9928,1,5,469
S01001755,Greater Glasgow & Clyde,255382.3412,658624.3528,1,13,628
S01001756,Greater Glasgow & Clyde,257477.4356,658690.9106,1,3,250
S01001757,Greater Glasgow & Clyde,248989.5868,658714.9555,1,20,525
S01001758,Greater Glasgow & Clyde,257952.2044,658736.4402,1,8,421
S01001759,Greater Glasgow & Clyde,249717.9943,658834.9273,1,40,499
S01001760,Greater Glasgow & Clyde,250834.6199,658917.4662,1,20,456
S01001761,Greater Glasgow & Clyde,250191.2962,658917.6534,1,28,382
S01001762,Greater Glasgow & Clyde,256117.0094,658983.5151,1,10,440
S01001763,Greater Glasgow & Clyde,257520.3713,658994.4194,1,3,520
S01001764,Greater Glasgow & Clyde,257194.7646,658996.4819,1,5,342
S01001765,Greater Glasgow & Clyde,250519.4757,658996.2967,1,30,539
S01001766,Greater Glasgow & Clyde,255521.3245,659023.4349,1,10,415
S01001767,Greater Glasgow & Clyde,256605.1003,659038.2084,1,0,345
S01001768,Greater Glasgow & Clyde,254870.6987,659153.6695,1,5,372
S01001769,Greater Glasgow & Clyde,256888.9935,659155.3618,1,8,324
S01001770,Greater Glasgow & Clyde,249952.6326,659155.8641,1,35,399
S01001771,Greater Glasgow & Clyde,255268.1013,659227.6453,1,10,566
S01001772,Greater Glasgow & Clyde,256130.947,659346.3766,1,5,288
S01001773,Greater Glasgow & Clyde,254664.5653,659375.3237,1,43,645
S01001774,Greater Glasgow & Clyde,255728.6789,659398.6884,1,10,434
S01001775,Greater Glasgow & Clyde,257488.5425,659450.3686,1,3,442
S01001776,Greater Glasgow & Clyde,249716.9514,659477.5349,1,18,386
S01001777,Greater Glasgow & Clyde,258005.828,659495.0789,1,5,533
S01001778,Greater Glasgow & Clyde,250436.8233,659512.7263,1,43,502
S01001779,Greater Glasgow & Clyde,256536.7155,659523.4748,1,5,253
S01001780,Greater Glasgow & Clyde,255481.8687,659667.7278,1,15,464
S01001781,Greater Glasgow & Clyde,256724.1624,659729.0767,1,5,387
S01001782,Greater Glasgow & Clyde,256915.0362,659780.6401,1,10,534
S01001783,Greater Glasgow & Clyde,250669.5473,659806.6636,1,40,360
S01001784,Greater Glasgow & Clyde,256285.7367,659827.8406,1,10,327
S01001785,Greater Glasgow & Clyde,249565.4556,659846.9179,1,10,388
S01001786,Greater Glasgow & Clyde,250190.2047,659892.2067,1,10,404
S01001787,Greater Glasgow & Clyde,249821.9677,660022.5544,1,5,356
S01001788,Greater Glasgow & Clyde,249404.251,660190.2939,1,15,469
S01001789,Greater Glasgow & Clyde,250906.5731,660262.7854,1,28,502
S01001790,Lothian,315491.241,662866.6946,1,0,401
S01001791,Lothian,313317.4645,664293.0228,1,5,395
S01001792,Lothian,316217.525,665949.4196,1,5,414
S01001793,Lothian,316786.2611,666164.0364,1,13,553
S01001794,Lothian,315987.4835,666279.8159,1,8,517
S01001795,Lothian,320853.8911,666743.1167,1,0,646
S01001796,Lothian,316913.8643,667322.692,1,0,409
